"","day","temp","dewp","visib","Num_collision"
"1",3,38,25.6,10,0.426900584795322
"2",4,27.5,12.1,10,0.380116959064327
"3",5,21.8,7.8,10,0.625730994152047
"4",6,32.2,21.1,10,0.578947368421053
"5",7,37.3,24.5,10,0.426900584795322
"6",1,35.7,31.3,9.8,0.421052631578947
"7",2,35.9,31,8.8,0.485380116959064
"8",3,39.8,34.1,9.8,0.538011695906433
"9",4,39.9,37.6,6.8,0.52046783625731
"10",5,43.5,30.4,9.9,0.701754385964912
"11",6,38,31.4,10,0.795321637426901
"12",7,42.7,41.5,7.1,0.432748538011696
"13",1,45.4,44.9,4.3,0.432748538011696
"14",2,47.2,47.1,1.3,0.549707602339181
"15",3,42.3,38.3,9.5,0.637426900584795
"16",4,41.6,40,7,0.590643274853801
"17",5,39.4,34.6,8.6,0.64327485380117
"18",6,28.1,16.6,7.5,0.818713450292398
"19",7,35.9,26.6,9.2,0.596491228070175
"20",1,46.3,41.2,7,0.461988304093567
"21",2,31.2,16,9.2,0.333333333333333
"22",3,26.3,18.1,6.5,0.567251461988304
"23",4,16.2,-1.1,10,0.608187134502924
"24",5,14.3,-1.9,10,0.695906432748538
"25",6,19,3.3,10,0.713450292397661
"26",7,24.4,16.6,8.6,0.660818713450292
"27",1,21.7,4.7,10,0.532163742690059
"28",2,27.3,10.8,8.8,0.573099415204678
"29",3,35.4,34.9,2.6,0.584795321637427
"30",4,45.1,44,4.4,0.631578947368421
"31",5,46.5,40.3,5.9,0.678362573099415
"32",6,33.1,15.5,10,0.771929824561403
"33",7,27.6,10.4,10,0.614035087719298
"34",1,30.7,24.5,8.2,0.415204678362573
"35",2,29,16.9,8.8,0.514619883040936
"36",3,28.7,16.6,7.8,0.684210526315789
"37",4,34.8,30.4,9,0.64327485380117
"38",5,29.4,13.4,10,0.60233918128655
"39",6,34.3,28.5,7.3,0.631578947368421
"40",7,29.2,25.8,1.2,0.47953216374269
"41",1,24.7,14.7,8.9,0.467836257309941
"42",2,36.4,32,7.6,0.508771929824561
"43",3,41.4,36.6,6.5,0.555555555555556
"44",4,36.1,25.2,10,0.660818713450292
"45",5,36.6,29.3,8.4,0.637426900584795
"46",6,38.6,33.2,9.8,0.812865497076023
"47",7,39.2,35.8,9.2,0.508771929824561
"48",1,30.9,25.6,4.2,0.52046783625731
"49",2,24.6,7.6,9.3,0.47953216374269
"50",3,36.7,25.4,10,0.649122807017544
"51",4,38.7,28.9,8.5,0.47953216374269
"52",5,30.6,14.1,10,0.631578947368421
"53",6,35.4,25.4,9.8,0.690058479532164
"54",7,36.3,29.8,9.7,0.660818713450292
"55",1,42.6,40.7,4.3,0.52046783625731
"56",2,37.5,30.4,8.3,0.567251461988304
"57",3,35,26.7,10,0.672514619883041
"58",4,44.1,41,5.9,0.719298245614035
"59",5,41.4,38.9,7.2,0.60233918128655
"60",6,39.3,34.2,9.4,0.649122807017544
"61",7,38.2,29.1,10,0.60233918128655
"62",1,37.4,29.3,10,0.543859649122807
"63",2,37,26.4,10,0.666666666666667
"64",3,38.5,29.8,9.9,0.578947368421053
"65",4,39.1,34.2,9.4,0.60233918128655
"66",5,38.3,35.2,4.1,0.637426900584795
"67",6,37.4,35.2,3.3,0.783625730994152
"68",7,39.2,31.7,9.9,0.713450292397661
"69",1,39,31.7,10,0.456140350877193
"70",2,39.9,34.7,10,0.526315789473684
"71",3,46,43.9,7.5,0.783625730994152
"72",4,46.3,41.1,7.1,0.783625730994152
"73",5,37,25.3,9.7,0.678362573099415
"74",6,31.2,13.7,10,0.777777777777778
"75",7,37.1,22,10,0.596491228070175
"76",1,34.8,21.5,9.9,0.52046783625731
"77",2,32.1,15.5,10,0.725146198830409
"78",3,39.6,35.5,4.6,0.532163742690059
"79",4,36.5,25.7,10,0.631578947368421
"80",5,38.3,29.9,9.8,0.526315789473684
"81",6,34.3,27.6,6.8,0.631578947368421
"82",7,38.5,21.7,10,0.608187134502924
"83",1,39.1,23.3,10,0.578947368421053
"84",2,38.1,29.8,10,0.567251461988304
"85",3,39.8,28.7,9.7,0.532163742690059
"86",4,41.7,30.3,10,0.549707602339181
"87",5,42.5,34.5,9.9,0.748538011695906
"88",6,45.2,34.3,10,0.654970760233918
"89",7,44.5,35.1,10,0.555555555555556
"90",1,43,38.1,10,0.467836257309941
"91",2,47,42.9,6.8,0.532163742690059
"92",3,39.6,18.8,9.9,0.543859649122807
"93",4,42.6,15.7,10,0.637426900584795
"94",5,39,18.8,10,0.578947368421053
"95",6,42.9,38.5,8.7,0.713450292397661
"96",7,40.2,22,10,0.730994152046784
"97",1,39.7,28.6,10,0.619883040935672
"98",2,50,41.6,9.1,0.637426900584795
"99",3,49.4,43.4,6.7,0.690058479532164
"100",4,46.5,42,7.6,0.730994152046784
"101",5,46.2,41,6.6,0.590643274853801
"102",6,43.6,35.7,7.7,0.789473684210526
"103",7,44.4,39.7,8.2,0.701754385964912
"104",1,46.1,38.4,9.6,0.654970760233918
"105",2,46.1,34.2,10,0.625730994152047
"106",3,46,40.5,10,0.754385964912281
"107",4,52.1,42.7,8.3,0.701754385964912
"108",5,46.5,37.3,10,0.725146198830409
"109",6,52.6,49.4,4.6,0.701754385964912
"110",7,52.7,49.6,3.6,0.684210526315789
"111",1,45.1,28.5,10,0.374269005847953
"112",2,43,29.8,10,0.690058479532164
"113",3,44.6,40,5.1,0.637426900584795
"114",4,47.5,43.6,7,0.649122807017544
"115",5,50.8,45.1,7.2,0.614035087719298
"116",6,49.5,37.8,9.5,0.789473684210526
"117",7,46.6,34.7,8.6,0.619883040935672
"118",1,48,38.5,9.8,0.514619883040936
"119",2,49.7,37.9,9.9,0.660818713450292
"120",3,51,30.2,10,0.742690058479532
"121",4,49.9,41.4,7.4,0.707602339181287
"122",5,49.9,42,9.5,0.660818713450292
"123",6,46.9,39.7,9.9,0.771929824561403
"124",7,47.8,38.7,10,0.842105263157895
"125",1,47.8,39.9,9.7,0.608187134502924
"126",2,49.2,43.4,5.1,0.654970760233918
"127",3,54.4,49.9,4.4,0.701754385964912
"128",4,59.4,54.7,7.5,0.812865497076023
"129",5,57.2,53.6,5,0.748538011695906
"130",6,56.1,51,5.7,0.818713450292398
"131",7,56.2,53.1,3.7,0.666666666666667
"132",1,56.2,53.1,3.3,0.56140350877193
"133",2,53.1,37.1,9.9,0.660818713450292
"134",3,51,35.3,9.8,0.684210526315789
"135",4,53.1,44.5,10,0.590643274853801
"136",5,57.7,50.1,7.1,0.742690058479532
"137",6,58.2,43.9,9.9,0.947368421052632
"138",7,54.6,45.2,10,0.666666666666667
"139",1,56.3,49.4,9.3,0.614035087719298
"140",2,57.5,54.5,2.9,0.830409356725146
"141",3,58,55.5,0.3,0.812865497076023
"142",4,57.8,55.1,2.5,0.760233918128655
"143",5,61.5,57.6,3,1
"144",6,61,58.7,2.1,0.859649122807018
"145",7,55.6,52.3,4.6,0.590643274853801
"146",1,50.2,41.8,9.3,0.543859649122807
"147",2,56.9,42.8,10,0.421052631578947
"148",3,56.6,49.6,9.9,0.707602339181287
"149",4,57.9,54.7,4.9,0.760233918128655
"150",5,60.9,56.2,6.1,0.830409356725146
"151",6,62,56.8,6.7,0.883040935672515
"152",1,61.3,57,8.9,0.567251461988304
"153",2,63.2,59.2,7,0.684210526315789
"154",3,60.9,58.6,3.1,0.742690058479532
"155",4,62.6,54.4,8.4,0.83625730994152
"156",5,60.6,53.1,9.6,0.649122807017544
"157",6,62,56.1,10,0.929824561403509
"158",7,63.4,58.5,10,0.707602339181287
"159",1,64.9,60.9,9.8,0.543859649122807
"160",2,66.8,64.5,2.8,0.906432748538012
"161",3,69.7,63.8,8.4,0.760233918128655
"162",4,69.5,64.6,6.1,0.783625730994152
"163",5,65.5,64,3.1,0.795321637426901
"164",6,66.1,64.8,2.1,0.795321637426901
"165",7,66.2,64.9,1.4,0.660818713450292
"166",1,65.4,64.2,1.9,0.614035087719298
"167",7,60.9,57,7,0.684210526315789
"168",1,61.8,58.6,4.6,0.56140350877193
"169",2,60.8,59.8,2,0.830409356725146
"170",3,61.8,51,7.5,0.719298245614035
"171",4,58.6,45.6,9.8,0.625730994152047
"172",5,58.6,51,10,0.754385964912281
"173",6,56.1,53.2,7.7,0.953216374269006
"174",7,62.3,59.6,4.8,0.596491228070175
"175",1,63.6,57.2,6.9,0.631578947368421
"176",2,62.2,56.1,9.3,0.725146198830409
"177",3,60.8,59.5,1.8,0.690058479532164
"178",4,64,55.9,8.1,0.807017543859649
"179",5,60.8,52.4,10,0.672514619883041
"180",6,55,50.7,7,0.91812865497076
"181",7,62.4,52.3,10,0.719298245614035
"182",2,66.7,65.3,4.1,0.783625730994152
"183",3,67.7,65.5,4,0.678362573099415
"184",4,68.7,67.2,2.5,0.719298245614035
"185",5,69.8,68,1.8,0.380116959064327
"186",6,71.6,68.2,6.8,0.60233918128655
"187",7,73,69.2,8.1,0.473684210526316
"188",1,74.4,69.8,9,0.543859649122807
"189",2,72.6,68.9,6.7,0.713450292397661
"190",3,72.7,69.3,5.7,0.666666666666667
"191",4,71.1,69.7,1.9,0.742690058479532
"192",5,71.8,69.7,4.9,0.736842105263158
"193",6,69.4,67.8,3.1,0.801169590643275
"194",7,67.9,66.3,3.3,0.619883040935672
"195",1,72.9,70.5,4.5,0.532163742690059
"196",2,76.3,71.2,9.3,0.690058479532164
"197",3,77.4,68.4,8.3,0.678362573099415
"198",4,72.9,65.8,9.9,0.684210526315789
"199",5,75.6,69.6,8.1,0.760233918128655
"200",6,73.9,71.4,2.8,0.923976608187134
"201",7,74.5,71.7,3.3,0.614035087719298
"202",1,72.8,69.1,6.6,0.485380116959064
"203",2,68.3,65.9,5.6,0.631578947368421
"204",3,72.1,70,3.7,0.666666666666667
"205",4,74.9,71.6,5.7,0.812865497076023
"206",5,67.7,62.8,9.7,0.690058479532164
"207",6,66.1,64.4,6,0.900584795321637
"208",7,69.1,66.1,9.6,0.725146198830409
"209",1,69.8,68,5.7,0.590643274853801
"210",2,69.2,67.1,6.5,0.766081871345029
"211",3,71.2,64.3,7.8,0.672514619883041
"212",4,70.6,62.6,10,0.754385964912281
"213",5,68.9,64.7,9.8,0.736842105263158
"214",6,69.7,66,9.5,0.771929824561403
"215",7,69.3,66.1,7.2,0.660818713450292
"216",1,69.4,61.9,9,0.60233918128655
"217",2,68.1,54.5,10,0.660818713450292
"218",3,66.2,54.5,10,0.672514619883041
"219",4,64.5,55.9,9.9,0.596491228070175
"220",5,67.8,64,10,0.713450292397661
"221",6,70.7,68.8,9.3,0.649122807017544
"222",7,72.4,66.5,6.4,0.631578947368421
"223",1,69.5,56.7,10,0.485380116959064
"224",2,68.2,63.2,10,0.631578947368421
"225",3,67.8,66.7,4.6,0.736842105263158
"226",4,68.4,59.6,8.3,0.748538011695906
"227",5,67.2,52.7,10,0.812865497076023
"228",6,67.4,59.7,10,0.883040935672515
"229",7,67.3,59.8,10,0.578947368421053
"230",1,64.8,58.4,8.4,0.619883040935672
"231",2,65.5,60.8,9.5,0.584795321637427
"232",3,71,64.7,9.5,0.654970760233918
"233",4,70.3,66.7,7.1,0.742690058479532
"234",5,70.5,68.9,3.9,0.742690058479532
"235",6,70.6,65,7.8,0.812865497076023
"236",7,66.2,55.2,10,0.538011695906433
"237",1,64,54.6,10,0.578947368421053
"238",2,68.3,64.1,10,0.619883040935672
"239",3,68,66.6,4.5,0.701754385964912
"240",4,66.4,64.6,3.9,0.64327485380117
"241",5,65.7,63.7,5.8,0.713450292397661
"242",6,65,59.2,9.9,0.637426900584795
"243",7,69.4,67,7,0.543859649122807
"244",1,70.7,68.3,7.5,0.491228070175439
"245",2,70.8,68.7,7,0.450292397660819
"246",3,70.1,69,2,0.713450292397661
"247",4,68.5,61.9,8.9,0.742690058479532
"248",5,67.4,62.1,10,0.625730994152047
"249",6,60.3,47.8,10,0.60233918128655
"250",7,63.6,50.4,10,0.789473684210526
"251",1,68,59.3,10,0.549707602339181
"252",2,59.8,42.5,10,0.777777777777778
"253",3,65.5,57.5,10,0.847953216374269
