"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","tmsplitcheckcombined2.visib","wdsp","tmsplitcheckcombined2.Num_collision"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,41.2,28,9.8,10.2,0.478571428571429
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,37.7,22.9,10,12.5,0.55
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,44.4,29.4,10,15.5,0.521428571428571
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,38.2,27.4,10,13.5,0.671428571428571
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,27.7,18.1,7.9,20.3,0.614285714285714
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,33.5,19.3,10,8.3,0.728571428571429
"7",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,40.5,29.9,10,6.8,0.714285714285714
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,41.3,33.1,9.9,11.8,0.742857142857143
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,45.9,38.6,10,9.3,0.771428571428571
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,51.3,49,4.9,16.2,0.45
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,43.2,30.5,8.4,17.5,0.857142857142857
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,33,19.1,10,7.9,0.971428571428571
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,32.9,18.2,9.6,18,0.892857142857143
"14",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,28.9,14.7,8.1,11.4,0.914285714285714
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,45.7,42.5,7.3,15.7,0.707142857142857
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,40.2,32.3,9.2,7.7,0.564285714285714
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,34.4,24.9,8.8,15.3,0.457142857142857
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,25.5,4.8,10,21.7,0.857142857142857
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,29.4,11.2,10,18.9,0.857142857142857
"20",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,30.9,10.8,10,14.5,0.992857142857143
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,28,11.8,10,13.1,0.992857142857143
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,34.6,25.4,6.1,17.5,0.392857142857143
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,33.5,21.2,10,6.5,0.778571428571429
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,42.2,36.4,9.1,11.1,0.864285714285714
"25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,43,36.7,7.5,9.4,0.85
"26",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,35,24.4,10,4.3,0.842857142857143
"27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,41.3,36.8,10,5.9,0.828571428571429
"28",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,37.8,27.3,10,11.6,0.864285714285714
"29",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,45,39,8.6,12.5,0.528571428571429
"30",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,47.6,43.1,6.9,11.8,0.807142857142857
"31",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,43.2,32.2,10,6.5,0.985714285714286
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,42.6,37.8,9.5,11.9,0.778571428571429
"33",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,51.6,49.4,3.1,13,0.814285714285714
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,40.8,38.4,3.5,17.9,0.878571428571429
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,32.3,23.3,9.9,12.1,0.828571428571429
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,38.7,30.1,10,6.7,0.5
