day,year,mo,da,collision_date,borough,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,Num_collision
2,2013,01,01,2013-01-01,MANHATTAN,38.0,25.6,1008.8,10.0,15.0,21.0,28.0,41.0,33.1,0.0,999.9,0,73
3,2013,01,02,2013-01-02,MANHATTAN,27.5,12.1,1013.4,10.0,12.4,15.9,25.1,33.1,21.9,0.0,999.9,0,65
4,2013,01,03,2013-01-03,MANHATTAN,21.8,7.8,1018.1,10.0,9.8,18.1,24.1,28.9,16.0,0.0,999.9,0,107
5,2013,01,04,2013-01-04,MANHATTAN,32.2,21.1,1015.2,10.0,11.3,22.0,29.9,41.0,24.1,0.0,999.9,0,99
6,2013,01,05,2013-01-05,MANHATTAN,37.3,24.5,1017.3,10.0,13.2,20.0,28.0,42.1,30.9,0.0,999.9,0,73
7,2013,01,06,2013-01-06,MANHATTAN,35.7,31.3,1019.7,9.8,5.9,15.0,20.0,44.1,23.0,0.01,999.9,0,72
1,2013,01,07,2013-01-07,MANHATTAN,35.9,31.0,1020.5,8.8,8.5,17.1,22.0,42.1,28.0,0.01,999.9,0,83
2,2013,01,08,2013-01-08,MANHATTAN,39.8,34.1,1028.8,9.8,10.4,17.1,25.1,48.0,25.0,0.0,999.9,0,92
3,2013,01,09,2013-01-09,MANHATTAN,39.9,37.6,1026.2,6.8,5.3,11.1,999.9,46.0,28.0,0.0,999.9,1,89
4,2013,01,10,2013-01-10,MANHATTAN,43.5,30.4,1024.0,9.9,14.7,21.0,32.1,48.0,36.0,0.0,999.9,0,120
5,2013,01,11,2013-01-11,MANHATTAN,38.0,31.4,1030.6,10.0,5.4,11.1,999.9,44.1,32.0,0.0,999.9,0,136
6,2013,01,12,2013-01-12,MANHATTAN,42.7,41.5,1022.6,7.1,7.9,13.0,20.0,46.4,39.2,0.17,999.9,0,74
7,2013,01,13,2013-01-13,MANHATTAN,45.4,44.9,1020.7,4.3,5.8,9.9,999.9,46.9,44.1,0.01,999.9,1,74
